confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
visible,human,2.0,0.24,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
visible,human,2.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
visible,human,2.0,0.2175,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
visible,human,2.0,0.228,google_gemini38_flash,500,direct,v2_owner_match_v1
visible,human,2.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
visible,human,2.0,0.224,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
visible,human,20.0,2.4,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
visible,human,20.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
visible,human,20.0,0.575,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
visible,human,20.0,0.856,google_gemini38_flash,500,direct,v2_owner_match_v1
visible,human,20.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
visible,human,20.0,0.552,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
visible,human,5.0,0.6,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
visible,human,5.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
visible,human,5.0,0.4,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
visible,human,5.0,0.476,google_gemini38_flash,500,direct,v2_owner_match_v1
visible,human,5.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
visible,human,5.0,0.484,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,10.0,1.74,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,10.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
hidden,ai_system,10.0,0.9525,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,10.0,0.974,openai_gpt56_sol,500,direct,v2_owner_match_v1
hidden,ai_system,10.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
hidden,ai_system,10.0,1.328,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.348,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,2.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
hidden,ai_system,2.0,0.35,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.38,openai_gpt56_sol,500,direct,v2_owner_match_v1
hidden,ai_system,2.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
hidden,ai_system,2.0,0.352,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,20.0,3.48,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,20.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
hidden,ai_system,20.0,0.955,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,20.0,1.55,openai_gpt56_sol,500,direct,v2_owner_match_v1
hidden,ai_system,20.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
