label,task,model_alias,policy,lambda,leakage_rate,verification_coverage,normalized_loss,best_observed_loss,best_observed_policy,regret_vs_best_observed,is_best_observed
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.001,0.01,0.794,0.010794,0.000924,displayed_0.70,0.00987,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.001,0.0,0.924,0.000924,0.000924,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.001,0.012,0.8,0.0128,0.000924,displayed_0.70,0.011876000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.001,0.014,0.776,0.014776000000000001,0.000924,displayed_0.70,0.013852000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.001,0.024,0.646,0.024646,0.000924,displayed_0.70,0.023722,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.001,0.038,0.57,0.03857,0.000924,displayed_0.70,0.037646,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.002,0.028,0.654,0.029308,0.001848,displayed_0.70,0.027460000000000002,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.002,0.01,0.794,0.011588000000000001,0.001848,displayed_0.70,0.00974,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.002,0.0,0.924,0.001848,0.001848,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.002,0.012,0.8,0.013600000000000001,0.001848,displayed_0.70,0.011752,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.002,0.014,0.776,0.015552,0.001848,displayed_0.70,0.013704,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.002,0.024,0.646,0.025292000000000002,0.001848,displayed_0.70,0.023444000000000003,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.002,0.038,0.57,0.03914,0.001848,displayed_0.70,0.037292,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.005,0.028,0.654,0.03127,0.00462,displayed_0.70,0.02665,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.005,0.01,0.794,0.01397,0.00462,displayed_0.70,0.00935,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.005,0.0,0.924,0.00462,0.00462,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.005,0.012,0.8,0.016,0.00462,displayed_0.70,0.011380000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.005,0.014,0.776,0.01788,0.00462,displayed_0.70,0.013260000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.005,0.024,0.646,0.02723,0.00462,displayed_0.70,0.02261,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.005,0.038,0.57,0.04085,0.00462,displayed_0.70,0.03623,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.01,0.028,0.654,0.03454,0.00924,displayed_0.70,0.025300000000000003,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.01,0.01,0.794,0.01794,0.00924,displayed_0.70,0.008700000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.01,0.0,0.924,0.00924,0.00924,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.01,0.012,0.8,0.02,0.00924,displayed_0.70,0.01076,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.01,0.014,0.776,0.02176,0.00924,displayed_0.70,0.012520000000000002,False
