confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
visible,human,5.0,0.40625,google_gemini38_flash,160,calibrated_confidence,v2_owner_match_v1
visible,human,5.0,0.41,google_gemini38_flash,200,direct,v2_owner_match_v1
visible,human,5.0,0.105,google_gemini38_flash,200,oracle,v2_owner_match_v1
visible,human,5.0,0.395,google_gemini38_flash,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,10.0,1.55,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,10.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
hidden,ai_system,10.0,0.96875,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,10.0,0.925,openai_gpt56_sol,200,direct,v2_owner_match_v1
hidden,ai_system,10.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
hidden,ai_system,10.0,1.145,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.31,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,2.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
hidden,ai_system,2.0,0.3375,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.37,openai_gpt56_sol,200,direct,v2_owner_match_v1
hidden,ai_system,2.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
hidden,ai_system,2.0,0.32,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,20.0,3.1,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,20.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
hidden,ai_system,20.0,0.96875,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,20.0,1.15,openai_gpt56_sol,200,direct,v2_owner_match_v1
hidden,ai_system,20.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
hidden,ai_system,20.0,1.815,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,5.0,0.775,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,5.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
hidden,ai_system,5.0,0.84375,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,5.0,0.51,openai_gpt56_sol,200,direct,v2_owner_match_v1
hidden,ai_system,5.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
hidden,ai_system,5.0,0.7,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
visible,ai_system,10.0,1.55,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
visible,ai_system,10.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
visible,ai_system,10.0,0.96875,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
visible,ai_system,10.0,1.1,openai_gpt56_sol,200,direct,v2_owner_match_v1
visible,ai_system,10.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
visible,ai_system,10.0,1.145,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.31,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
visible,ai_system,2.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
visible,ai_system,2.0,0.3375,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.32,openai_gpt56_sol,200,direct,v2_owner_match_v1
visible,ai_system,2.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
visible,ai_system,2.0,0.32,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
visible,ai_system,20.0,3.1,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
visible,ai_system,20.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
visible,ai_system,20.0,0.96875,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
visible,ai_system,20.0,1.805,openai_gpt56_sol,200,direct,v2_owner_match_v1
visible,ai_system,20.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
visible,ai_system,20.0,1.815,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
visible,ai_system,5.0,0.775,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
visible,ai_system,5.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
visible,ai_system,5.0,0.84375,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
visible,ai_system,5.0,0.7,openai_gpt56_sol,200,direct,v2_owner_match_v1
visible,ai_system,5.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
visible,ai_system,5.0,0.7,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
hidden,human,10.0,1.55,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
hidden,human,10.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
hidden,human,10.0,0.96875,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
hidden,human,10.0,0.905,openai_gpt56_sol,200,direct,v2_owner_match_v1
