task,model_alias,delta,lambda,normalized_loss,leakage_rate,verification_coverage
code,anthropic_sonnet5,0.0,0.001,0.014965034965034965,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,0.002,0.015944055944055943,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,0.005,0.01888111888111888,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,0.01,0.02377622377622378,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,0.02,0.033566433566433566,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,0.05,0.06293706293706294,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,0.1,0.1118881118881119,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,0.2,0.20979020979020982,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,0.5,0.5034965034965035,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.0,1.0,0.993006993006993,0.013986013986013986,0.9790209790209791
code,anthropic_sonnet5,0.75,0.001,0.018437062937062938,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,0.002,0.019391608391608393,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,0.005,0.022255244755244756,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,0.01,0.027027972027972032,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,0.02,0.036573426573426576,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,0.05,0.06520979020979022,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,0.1,0.11293706293706295,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,0.2,0.2083916083916084,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,0.5,0.4947552447552448,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,0.75,1.0,0.9720279720279721,0.017482517482517484,0.9545454545454546
code,anthropic_sonnet5,1.5,0.001,0.01493006993006993,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,0.002,0.015874125874125875,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,0.005,0.018706293706293706,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,0.01,0.02342657342657343,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,0.02,0.032867132867132866,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,0.05,0.06118881118881119,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,0.1,0.1083916083916084,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,0.2,0.2027972027972028,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,0.5,0.48601398601398604,0.013986013986013986,0.9440559440559441
code,anthropic_sonnet5,1.5,1.0,0.958041958041958,0.013986013986013986,0.9440559440559441
