model_id,model_label,error_cost,decision_owner,policy,policy_detail,visibility,verification_rate,wrong_unverified_rate,correct_verify_rate,error_catch_rate,mean_realized_cost,mean_cost_ci_lower,mean_cost_ci_upper,n,n_wrong,brier,auroc,ece_10bin
openai_gpt56_sol,GPT-5.6 Sol,5.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.076,0.8160919540229885,0.053268765133171914,0.1839080459770115,0.786,0.638,0.94,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,5.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.218,0.5747126436781609,0.17433414043583534,0.42528735632183906,0.718,0.592,0.848,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,5.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,0.1,0.7931034482758621,0.0774818401937046,0.20689655172413793,0.79,0.64,0.942,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,5.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.284,0.367816091954023,0.2106537530266344,0.632183908045977,0.604,0.494,0.712,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,5.0,ai_system,actual_visible,visible_ai_system,visible,0.076,0.8160919540229885,0.053268765133171914,0.1839080459770115,0.786,0.64,0.942,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,5.0,human,actual_hidden,hidden_human,hidden,0.278,0.4252873563218391,0.21549636803874092,0.5747126436781609,0.648,0.538,0.768,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,5.0,human,actual_visible,visible_human,visible,0.078,0.8045977011494253,0.053268765133171914,0.19540229885057472,0.778,0.632,0.93,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,5.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.281,0.39655172413793105,0.21307506053268765,0.603448275862069,0.626,0.524,0.737,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,5.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.077,0.8103448275862069,0.053268765133171914,0.1896551724137931,0.782,0.636,0.934,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.148,0.6781609195402298,0.11138014527845036,0.3218390804597701,1.328,1.048,1.616,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.956,0.0,0.9467312348668281,1.0,0.956,0.938,0.974,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,1.0,0.0,1.0,1.0,1.0,1.0,1.0,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.354,0.3563218390804598,0.2929782082324455,0.6436781609195402,0.974,0.772,1.1880499999999992,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,ai_system,actual_visible,visible_ai_system,visible,0.154,0.6436781609195402,0.11138014527845036,0.3563218390804598,1.274,1.004,1.552,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,human,actual_hidden,hidden_human,hidden,0.356,0.3563218390804598,0.29539951573849876,0.6436781609195402,0.976,0.778,1.192,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,human,actual_visible,visible_human,visible,0.152,0.6666666666666667,0.11380145278450363,0.3333333333333333,1.312,1.042,1.6,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.355,0.3563218390804598,0.2941888619854721,0.6436781609195402,0.975,0.784,1.175,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,10.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.153,0.6551724137931034,0.11259079903147699,0.3448275862068966,1.293,1.026975,1.578,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,20.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.236,0.5287356321839081,0.1864406779661017,0.47126436781609193,2.076,1.5799500000000002,2.5960499999999995,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,20.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.956,0.0,0.9467312348668281,1.0,0.956,0.936,0.972,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,20.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,1.0,0.0,1.0,1.0,1.0,1.0,1.0,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,20.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.39,0.33333333333333337,0.33171912832929784,0.6666666666666666,1.55,1.16195,1.962,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,20.0,ai_system,actual_visible,visible_ai_system,visible,0.224,0.5402298850574713,0.17433414043583534,0.45977011494252873,2.104,1.622,2.6440499999999996,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,20.0,human,actual_hidden,hidden_human,hidden,0.376,0.32183908045977017,0.31234866828087166,0.6781609195402298,1.496,1.1239500000000002,1.902,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,20.0,human,actual_visible,visible_human,visible,0.214,0.5632183908045977,0.16707021791767554,0.4367816091954023,2.174,1.67,2.702,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,20.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.383,0.32758620689655177,0.3220338983050848,0.6724137931034482,1.523,1.162975,1.9150499999999993,500,87,,,
