model_id,decision_owner,error_cost,bin_type,bin_label,q_value,n,n_verify,n_use,error_rate_verify,error_rate_use,error_rate_diff_verify_minus_use
anthropic_sonnet5,human,20.0,exact_q,q=0.6,0.6,69,64,5,0.375,0.2,0.175
anthropic_sonnet5,human,20.0,exact_q,q=0.65,0.65,13,9,4,0.5555555555555556,0.0,0.5555555555555556
anthropic_sonnet5,human,20.0,exact_q,q=0.7,0.7,22,19,3,0.2631578947368421,0.3333333333333333,-0.07017543859649122
anthropic_sonnet5,human,20.0,exact_q,q=0.72,0.72,67,54,13,0.2777777777777778,0.15384615384615385,0.12393162393162394
anthropic_sonnet5,human,20.0,exact_q,q=0.75,0.75,33,16,17,0.3125,0.058823529411764705,0.2536764705882353
anthropic_sonnet5,human,20.0,exact_q,q=0.8,0.8,14,8,6,0.375,0.16666666666666666,0.20833333333333334
anthropic_sonnet5,human,20.0,exact_q,q=0.85,0.85,81,37,44,0.35135135135135137,0.09090909090909091,0.2604422604422605
anthropic_sonnet5,human,20.0,exact_q,q=0.9,0.9,41,10,31,0.4,0.06451612903225806,0.33548387096774196
anthropic_sonnet5,human,20.0,exact_q,q=0.95,0.95,38,5,33,0.2,0.0,0.2
anthropic_sonnet5,human,20.0,exact_q,q=0.97,0.97,18,3,15,0.0,0.0,0.0
anthropic_sonnet5,human,20.0,quantile,"(0.049, 0.6]",0.5092465753424658,146,138,8,0.463768115942029,0.375,0.08876811594202899
anthropic_sonnet5,human,20.0,quantile,"(0.6, 0.72]",0.7059223300970875,103,82,21,0.3048780487804878,0.14285714285714285,0.16202090592334495
anthropic_sonnet5,human,20.0,quantile,"(0.72, 0.85]",0.8187499999999999,128,61,67,0.3442622950819672,0.08955223880597014,0.2547100562759971
anthropic_sonnet5,human,20.0,quantile,"(0.85, 0.9]",0.8995238095238095,42,10,32,0.4,0.0625,0.3375
anthropic_sonnet5,human,20.0,quantile,"(0.9, 0.99]",0.952716049382716,81,8,73,0.125,0.0,0.125
google_gemini38_flash,ai_system,2.0,exact_q,q=0.85,0.85,60,4,56,0.75,0.26785714285714285,0.48214285714285715
google_gemini38_flash,ai_system,2.0,exact_q,q=0.9,0.9,14,1,13,0.0,0.15384615384615385,-0.15384615384615385
google_gemini38_flash,ai_system,2.0,exact_q,q=0.95,0.95,115,3,112,0.3333333333333333,0.11607142857142858,0.21726190476190474
google_gemini38_flash,ai_system,2.0,exact_q,q=0.98,0.98,89,1,88,0.0,0.011363636363636364,-0.011363636363636364
google_gemini38_flash,ai_system,2.0,quantile,"(0.049, 0.874]",0.7062999999999998,100,25,75,0.64,0.30666666666666664,0.33333333333333337
google_gemini38_flash,ai_system,2.0,quantile,"(0.874, 0.95]",0.9418382352941179,136,4,132,0.25,0.13636363636363635,0.11363636363636365
google_gemini38_flash,ai_system,2.0,quantile,"(0.95, 0.98]",0.9800000000000003,89,1,88,0.0,0.011363636363636364,-0.011363636363636364
google_gemini38_flash,ai_system,5.0,exact_q,q=0.85,0.85,60,12,48,0.5833333333333334,0.22916666666666666,0.35416666666666674
google_gemini38_flash,ai_system,5.0,exact_q,q=0.9,0.9,14,2,12,0.5,0.08333333333333333,0.4166666666666667
google_gemini38_flash,ai_system,5.0,exact_q,q=0.95,0.95,115,2,113,0.5,0.11504424778761062,0.38495575221238937
google_gemini38_flash,ai_system,5.0,exact_q,q=0.98,0.98,89,1,88,0.0,0.011363636363636364,-0.011363636363636364
google_gemini38_flash,ai_system,5.0,quantile,"(0.049, 0.874]",0.7062999999999998,100,44,56,0.5681818181818182,0.25,0.31818181818181823
google_gemini38_flash,ai_system,5.0,quantile,"(0.874, 0.95]",0.9418382352941179,136,4,132,0.5,0.12878787878787878,0.3712121212121212
google_gemini38_flash,ai_system,5.0,quantile,"(0.95, 0.98]",0.9800000000000003,89,1,88,0.0,0.011363636363636364,-0.011363636363636364
google_gemini38_flash,ai_system,10.0,exact_q,q=0.85,0.85,60,10,50,0.7,0.22,0.48
google_gemini38_flash,ai_system,10.0,exact_q,q=0.9,0.9,14,1,13,1.0,0.07692307692307693,0.9230769230769231
google_gemini38_flash,ai_system,10.0,exact_q,q=0.95,0.95,115,2,113,0.0,0.12389380530973451,-0.12389380530973451
google_gemini38_flash,ai_system,10.0,exact_q,q=0.98,0.98,89,1,88,0.0,0.011363636363636364,-0.011363636363636364
google_gemini38_flash,ai_system,10.0,quantile,"(0.049, 0.874]",0.7062999999999998,100,41,59,0.5853658536585366,0.2542372881355932,0.33112856552294334
google_gemini38_flash,ai_system,10.0,quantile,"(0.874, 0.95]",0.9418382352941179,136,3,133,0.3333333333333333,0.13533834586466165,0.19799498746867167
google_gemini38_flash,ai_system,10.0,quantile,"(0.95, 0.98]",0.9800000000000003,89,1,88,0.0,0.011363636363636364,-0.011363636363636364
google_gemini38_flash,ai_system,20.0,exact_q,q=0.85,0.85,60,17,43,0.47058823529411764,0.23255813953488372,0.23803009575923392
google_gemini38_flash,ai_system,20.0,exact_q,q=0.9,0.9,14,1,13,0.0,0.15384615384615385,-0.15384615384615385
google_gemini38_flash,ai_system,20.0,exact_q,q=0.95,0.95,115,3,112,0.3333333333333333,0.11607142857142858,0.21726190476190474
google_gemini38_flash,ai_system,20.0,exact_q,q=0.98,0.98,89,1,88,0.0,0.011363636363636364,-0.011363636363636364
google_gemini38_flash,ai_system,20.0,quantile,"(0.049, 0.874]",0.7062999999999998,100,48,52,0.5,0.28846153846153844,0.21153846153846156
google_gemini38_flash,ai_system,20.0,quantile,"(0.874, 0.95]",0.9418382352941179,136,4,132,0.25,0.13636363636363635,0.11363636363636365
google_gemini38_flash,ai_system,20.0,quantile,"(0.95, 0.98]",0.9800000000000003,89,1,88,0.0,0.011363636363636364,-0.011363636363636364
google_gemini38_flash,human,2.0,exact_q,q=0.85,0.85,60,7,53,0.5714285714285714,0.2641509433962264,0.307277628032345
google_gemini38_flash,human,2.0,exact_q,q=0.9,0.9,14,2,12,0.5,0.08333333333333333,0.4166666666666667
google_gemini38_flash,human,2.0,exact_q,q=0.95,0.95,115,2,113,0.5,0.11504424778761062,0.38495575221238937
google_gemini38_flash,human,2.0,quantile,"(0.049, 0.874]",0.7062999999999998,100,27,73,0.6296296296296297,0.3013698630136986,0.32825976661593104
google_gemini38_flash,human,2.0,quantile,"(0.874, 0.95]",0.9418382352941179,136,4,132,0.5,0.12878787878787878,0.3712121212121212
google_gemini38_flash,human,5.0,exact_q,q=0.85,0.85,60,6,54,0.5,0.2777777777777778,0.2222222222222222
google_gemini38_flash,human,5.0,exact_q,q=0.9,0.9,14,1,13,0.0,0.15384615384615385,-0.15384615384615385
google_gemini38_flash,human,5.0,exact_q,q=0.95,0.95,115,4,111,0.5,0.10810810810810811,0.3918918918918919
google_gemini38_flash,human,5.0,quantile,"(0.049, 0.874]",0.7062999999999998,100,28,72,0.5357142857142857,0.3333333333333333,0.20238095238095238
google_gemini38_flash,human,5.0,quantile,"(0.874, 0.95]",0.9418382352941179,136,5,131,0.4,0.1297709923664122,0.2702290076335878
google_gemini38_flash,human,10.0,exact_q,q=0.85,0.85,60,13,47,0.6923076923076923,0.19148936170212766,0.5008183306055647
google_gemini38_flash,human,10.0,exact_q,q=0.9,0.9,14,2,12,0.5,0.08333333333333333,0.4166666666666667
google_gemini38_flash,human,10.0,exact_q,q=0.95,0.95,115,2,113,0.5,0.11504424778761062,0.38495575221238937
google_gemini38_flash,human,10.0,quantile,"(0.049, 0.874]",0.7062999999999998,100,43,57,0.627906976744186,0.21052631578947367,0.4173806609547124
google_gemini38_flash,human,10.0,quantile,"(0.874, 0.95]",0.9418382352941179,136,4,132,0.5,0.12878787878787878,0.3712121212121212
google_gemini38_flash,human,20.0,exact_q,q=0.85,0.85,60,12,48,0.6666666666666666,0.20833333333333334,0.45833333333333326
google_gemini38_flash,human,20.0,exact_q,q=0.9,0.9,14,2,12,0.5,0.08333333333333333,0.4166666666666667
google_gemini38_flash,human,20.0,exact_q,q=0.95,0.95,115,3,112,0.3333333333333333,0.11607142857142858,0.21726190476190474
google_gemini38_flash,human,20.0,quantile,"(0.049, 0.874]",0.7062999999999998,100,40,60,0.625,0.23333333333333334,0.39166666666666666
google_gemini38_flash,human,20.0,quantile,"(0.874, 0.95]",0.9418382352941179,136,5,131,0.4,0.1297709923664122,0.2702290076335878
openai_gpt56_sol,ai_system,2.0,exact_q,q=0.88,0.88,10,7,3,0.5714285714285714,0.0,0.5714285714285714
openai_gpt56_sol,ai_system,2.0,exact_q,q=0.93,0.93,17,8,9,0.625,0.3333333333333333,0.2916666666666667
openai_gpt56_sol,ai_system,2.0,exact_q,q=0.94,0.94,11,3,8,0.0,0.25,-0.25
openai_gpt56_sol,ai_system,2.0,exact_q,q=0.97,0.97,35,8,27,0.25,0.18518518518518517,0.06481481481481483
openai_gpt56_sol,ai_system,2.0,exact_q,q=0.98,0.98,66,6,60,0.5,0.13333333333333333,0.3666666666666667
openai_gpt56_sol,ai_system,2.0,exact_q,q=0.99,0.99,247,32,215,0.40625,0.06511627906976744,0.34113372093023253
